year,state,state_po,county,FIPS,candidate,party,candidatevotes,0
2016,Wisconsin,WI,Monroe,55081,Other,NA,1270,
2016,Wisconsin,WI,Oconto,55083,Donald Trump,republican,13253,131
2016,Wisconsin,WI,Oconto,55083,Hillary Clinton,democrat,5884,132
2016,Wisconsin,WI,Oconto,55083,Other,NA,841,
2016,Wisconsin,WI,Oneida,55085,Donald Trump,republican,12117,133
2016,Wisconsin,WI,Oneida,55085,Hillary Clinton,democrat,8104,134
2016,Wisconsin,WI,Oneida,55085,Other,NA,1252,
2016,Wisconsin,WI,Outagamie,55087,Donald Trump,republican,49884,135
2016,Wisconsin,WI,Outagamie,55087,Hillary Clinton,democrat,38087,136
2016,Wisconsin,WI,Outagamie,55087,Other,NA,5897,
2016,Wisconsin,WI,Ozaukee,55089,Donald Trump,republican,30430,137
2016,Wisconsin,WI,Ozaukee,55089,Hillary Clinton,democrat,20168,138
2016,Wisconsin,WI,Ozaukee,55089,Other,NA,3925,
2016,Wisconsin,WI,Pepin,55091,Donald Trump,republican,2206,139
2016,Wisconsin,WI,Pepin,55091,Hillary Clinton,democrat,1345,140
2016,Wisconsin,WI,Pepin,55091,Other,NA,188,
2016,Wisconsin,WI,Pierce,55093,Donald Trump,republican,11258,141
2016,Wisconsin,WI,Pierce,55093,Hillary Clinton,democrat,8382,142
2016,Wisconsin,WI,Pierce,55093,Other,NA,1549,
2016,Wisconsin,WI,Polk,55095,Donald Trump,republican,13815,143
2016,Wisconsin,WI,Polk,55095,Hillary Clinton,democrat,7570,144
2016,Wisconsin,WI,Polk,55095,Other,NA,1364,
2016,Wisconsin,WI,Portage,55097,Hillary Clinton,democrat,18521,145
2016,Wisconsin,WI,Portage,55097,Donald Trump,republican,17306,146
2016,Wisconsin,WI,Portage,55097,Other,NA,2669,
2016,Wisconsin,WI,Price,55099,Donald Trump,republican,4562,147
2016,Wisconsin,WI,Price,55099,Hillary Clinton,democrat,2669,148
2016,Wisconsin,WI,Price,55099,Other,NA,346,
2016,Wisconsin,WI,Racine,55101,Donald Trump,republican,46611,149
2016,Wisconsin,WI,Racine,55101,Hillary Clinton,democrat,42512,150
2016,Wisconsin,WI,Racine,55101,Other,NA,5010,
2016,Wisconsin,WI,Richland,55103,Donald Trump,republican,4023,151
2016,Wisconsin,WI,Richland,55103,Hillary Clinton,democrat,3577,152
2016,Wisconsin,WI,Richland,55103,Other,NA,455,
2016,Wisconsin,WI,Rock,55105,Hillary Clinton,democrat,39343,153
2016,Wisconsin,WI,Rock,55105,Donald Trump,republican,31488,154
2016,Wisconsin,WI,Rock,55105,Other,NA,5237,
2016,Wisconsin,WI,Rusk,55107,Donald Trump,republican,4564,155
2016,Wisconsin,WI,Rusk,55107,Hillary Clinton,democrat,2171,156
2016,Wisconsin,WI,Rusk,55107,Other,NA,352,
2016,Wisconsin,WI,Sauk,55111,Donald Trump,republican,14791,157
2016,Wisconsin,WI,Sauk,55111,Hillary Clinton,democrat,14692,158
2016,Wisconsin,WI,Sauk,55111,Other,NA,1835,
2016,Wisconsin,WI,Sawyer,55113,Donald Trump,republican,5185,159
2016,Wisconsin,WI,Sawyer,55113,Hillary Clinton,democrat,3504,160
2016,Wisconsin,WI,Sawyer,55113,Other,NA,432,
