STATE_NAME,STUSPS,COUNTY_NAME,FIPS,PARTY
Virginia,VA,Shenandoah,51171,republican
Virginia,VA,Smyth,51173,republican
Virginia,VA,Southampton,51175,republican
Virginia,VA,Spotsylvania,51177,republican
Virginia,VA,Stafford,51179,republican
Virginia,VA,Staunton,51790,democrat
Virginia,VA,Suffolk,51800,democrat
Virginia,VA,Surry,51181,democrat
Virginia,VA,Sussex,51183,democrat
Virginia,VA,Tazewell,51185,republican
Virginia,VA,Virginia Beach,51810,republican
Virginia,VA,Warren,51187,republican
Virginia,VA,Washington,51191,republican
Virginia,VA,Waynesboro,51820,republican
Virginia,VA,Westmoreland,51193,republican
Virginia,VA,Williamsburg,51830,democrat
Virginia,VA,Winchester,51840,democrat
Virginia,VA,Wise,51195,republican
Virginia,VA,Wythe,51197,republican
Virginia,VA,York,51199,republican
Vermont,VT,Addison,50001,democrat
Vermont,VT,Bennington,50003,democrat
Vermont,VT,Caledonia,50005,democrat
Vermont,VT,Chittenden,50007,democrat
Vermont,VT,Essex,50009,republican
Vermont,VT,Franklin,50011,democrat
Vermont,VT,Grand Isle,50013,democrat
Vermont,VT,Lamoille,50015,democrat
Vermont,VT,Orange,50017,democrat
Vermont,VT,Orleans,50019,democrat
Vermont,VT,Rutland,50021,democrat
Vermont,VT,Washington,50023,democrat
Vermont,VT,Windham,50025,democrat
Vermont,VT,Windsor,50027,democrat
Utah,UT,Beaver,49001,republican
Utah,UT,Box Elder,49003,republican
Utah,UT,Cache,49005,republican
Utah,UT,Carbon,49007,republican
Utah,UT,Daggett,49009,republican
Utah,UT,Davis,49011,republican
Utah,UT,Duchesne,49013,republican
Utah,UT,Emery,49015,republican
Utah,UT,Garfield,49017,republican
Utah,UT,Grand,49019,republican
Utah,UT,Iron,49021,republican
Utah,UT,Juab,49023,republican
Utah,UT,Kane,49025,republican
Utah,UT,Millard,49027,republican
Utah,UT,Morgan,49029,republican
Utah,UT,Piute,49031,republican
Utah,UT,Rich,49033,republican
Utah,UT,Salt Lake,49035,democrat
Utah,UT,San Juan,49037,republican
Utah,UT,Sanpete,49039,republican
Utah,UT,Sevier,49041,republican
Utah,UT,Summit,49043,democrat
